4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 3121, 4095, 2992, 3488
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 3101, 4095, 2514, 3509
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 2991, 4095, 1719, 3336
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 2961, 4095, 737, 3237
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 2928, 4095, 576, 3171
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 2898, 4095, 528, 3155
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4083, 2895, 4095, 509, 3151
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4080, 2896, 4095, 510, 3150
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4080, 2884, 4095, 518, 3151
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4075, 2882, 4095, 533, 3152
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4054, 2883, 4095, 534, 3159
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4079, 2899, 4095, 582, 3154
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 3345, 4095, 4095, 4032
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 3979, 4095, 4095, 4095
4095, 4095, 4095, 4095, 4095, 2809, 3278, 4095, 3504, 4095, 3856, 4048
4095, 3312, 4095, 2939, 2531, 2491, 3805, 4095, 3862, 4010, 3305, 4019
2897, 2468, 3054, 2017, 1678, 1977, 3424, 4095, 3835, 2703, 2607, 3671
2055, 1761, 2112, 1235, 929, 1082, 2802, 4067, 3756, 1806, 2297, 3671
1810, 1533, 1827, 1031, 752, 922, 2739, 4095, 3933, 1584, 2495, 3778
1597, 1389, 1595, 851, 594, 637, 2253, 3823, 3643, 1328, 2301, 3601
1587, 1319, 1521, 825, 574, 590, 2262, 3965, 3855, 1400, 2525, 3401
1528, 1200, 1367, 743, 523, 533, 2272, 4065, 4022, 1392, 2623, 3355
1484, 1184, 1331, 710, 493, 478, 2111, 3968, 3952, 1302, 2545, 3334
1458, 1171, 1311, 691, 485, 448, 2070, 3930, 3915, 1289, 2558, 3344
1535, 1213, 1360, 721, 509, 478, 2143, 4017, 4002, 1434, 2738, 3489
1579, 1231, 1379, 729, 499, 451, 2066, 3930, 3948, 1407, 2698, 3462
1527, 1239, 1389, 727, 497, 422, 1982, 3867, 3878, 1392, 2643, 3422
1568, 1264, 1423, 752, 509, 431, 2032, 3951, 3963, 1456, 2707, 3376
1548, 1255, 1404, 737, 496, 411, 1955, 3873, 3923, 1398, 2638, 3376
1495, 1233, 1362, 715, 480, 390, 1904, 3829, 3878, 1338, 2599, 3323
1456, 1197, 1328, 690, 466, 368, 1869, 3805, 3858, 1287, 2576, 3295
1453, 1190, 1321, 688, 462, 368, 1861, 3805, 3885, 1286, 2581, 3290
1443, 1186, 1313, 686, 459, 364, 1835, 3773, 3856, 1227, 2571, 3280
1422, 1174, 1298, 676, 418, 353, 1821, 3760, 3838, 1232, 2544, 3265
1435, 1187, 1317, 681, 455, 359, 1824, 3603, 3826, 1243, 2544, 3270
1453, 1205, 1338, 688, 460, 353, 1795, 3728, 3795, 1252, 2521, 3265
1478, 1237, 1379, 718, 466, 336, 1738, 3667, 3751, 1267, 2512, 3249
1482, 1239, 1381, 717, 457, 379, 1658, 3606, 3713, 1276, 2490, 3199
1607, 1344, 1510, 795, 504, 346, 1747, 3712, 3807, 1438, 2577, 3188
1863, 1609, 1839, 1007, 642, 358, 1574, 3418, 3435, 1631, 2448, 3146
2559, 2263, 2679, 1696, 1203, 598, 1226, 2734, 2815, 2224, 2131, 2937
3117, 2725, 3299, 2226, 1712, 931, 1315, 2421, 2713, 2871, 2157, 2783
3299, 2878, 3591, 2474, 1954, 1121, 1455, 2483, 2738, 3059, 2271, 2795
3507, 3046, 3907, 2666, 2110, 1205, 1328, 1963, 2192, 3403, 2126, 2355
2869, 2423, 2835, 1846, 1337, 656, 905, 1746, 2159, 2736, 1679, 2304
2231, 1792, 1981, 1093, 683, 335, 1153, 2719, 2747, 2154, 1552, 2779
1808, 1633, 1680, 830, 490, 242, 987, 2517, 2686, 1557, 1200, 2731
1655, 1492, 1470, 704, 438, 223, 989, 2619, 2740, 1275, 1181, 2834
1290, 939, 1042, 502, 363, 195, 966, 2659, 2768, 1012, 1319, 2910
845, 352, 399, 241, 230, 111, 592, 1864, 2187, 623, 704, 1695
751, 276, 348, 235, 225, 115, 645, 1978, 2204, 631, 690, 1558
758, 256, 331, 240, 238, 128, 649, 1711, 1819, 730, 731, 1442
571, 187, 293, 227, 240, 113, 474, 1105, 1223, 654, 657, 947
336, 131, 231, 198, 262, 81, 320, 714, 785, 417, 398, 681
250, 91, 181, 152, 156, 48, 258, 592, 656, 322, 293, 535
303, 103, 176, 144, 135, 56, 289, 679, 636, 369, 309, 519
336, 108, 166, 128, 125, 53, 283, 658, 593, 395, 304, 459
268, 80, 145, 124, 113, 38, 230, 509, 465, 320, 265, 320
244, 73, 140, 122, 108, 32, 198, 432, 394, 298, 247, 272
234, 71, 135, 128, 107, 27, 198, 443, 375, 296, 246, 256
212, 64, 130, 119, 101, 27, 182, 405, 352, 272, 232, 239
213, 64, 141, 119, 106, 22, 192, 431, 365, 274, 235, 243
192, 64, 133, 126, 107, 20, 179, 400, 342, 246, 213, 235
182, 59, 131, 127, 106, 23, 170, 393, 335, 234, 209, 224
176, 64, 129, 128, 107, 18, 194, 394, 326, 230, 205, 221
169, 57, 128, 125, 102, 18, 161, 380, 307, 208, 192, 210
155, 55, 128, 124, 97, 15, 162, 345, 301, 202, 192, 203
147, 50, 122, 119, 87, 15, 151, 339, 275, 180, 184, 206
144, 48, 116, 115, 87, 14, 145, 335, 265, 142, 187, 195
131, 48, 114, 112, 84, 6, 132, 306, 241, 169, 179, 190
128, 48, 112, 112, 84, 6, 130, 303, 227, 164, 174, 178
161, 45, 112, 111, 81, 3, 113, 282, 223, 158, 166, 170
120, 45, 109, 108, 81, 2, 118, 272, 215, 152, 157, 164
121, 42, 109, 112, 79, 1, 112, 266, 208, 144, 157, 161
117, 42, 109, 103, 80, 2, 111, 258, 199, 142, 151, 160
112, 40, 82, 107, 75, 0, 111, 253, 181, 140, 230, 154
107, 35, 75, 106, 75, 15, 97, 242, 182, 128, 145, 145
100, 36, 97, 98, 70, 0, 93, 222, 155, 121, 142, 141
103, 38, 101, 99, 70, 0, 89, 237, 177, 133, 144, 144
107, 36, 97, 99, 73, 0, 99, 233, 172, 128, 144, 144
108, 36, 102, 101, 71, 0, 95, 226, 176, 132, 145, 145
107, 37, 100, 110, 71, 0, 89, 227, 167, 131, 150, 144
106, 36, 99, 101, 74, 0, 89, 219, 171, 133, 145, 147
106, 38, 100, 103, 77, 0, 85, 210, 165, 138, 144, 144
109, 35, 97, 105, 71, 0, 76, 205, 149, 133, 145, 137
102, 32, 98, 102, 71, 0, 79, 192, 147, 129, 146, 138
103, 34, 98, 97, 70, 0, 68, 193, 150, 123, 142, 135
99, 36, 97, 99, 70, 0, 68, 189, 144, 125, 144, 137
103, 35, 98, 98, 71, 0, 79, 193, 151, 132, 144, 135
99, 35, 98, 99, 71, 0, 71, 197, 144, 125, 139, 133
100, 34, 96, 99, 72, 0, 74, 163, 144, 123, 141, 129
102, 37, 98, 101, 69, 0, 79, 145, 146, 130, 142, 133
99, 32, 99, 98, 75, 0, 69, 187, 143, 127, 139, 131
102, 35, 97, 97, 68, 0, 64, 186, 144, 127, 142, 131
102, 33, 91, 94, 68, 0, 58, 167, 134, 134, 144, 128
100, 33, 93, 96, 68, 0, 63, 167, 133, 129, 144, 129
129, 42, 107, 106, 80, 0, 93, 226, 194, 176, 171, 165
125, 45, 101, 107, 81, 0, 89, 227, 177, 165, 177, 154
112, 38, 105, 101, 78, 0, 71, 192, 161, 150, 156, 146
122, 40, 111, 97, 79, 0, 73, 186, 163, 152, 173, 167
130, 39, 103, 107, 80, 0, 82, 193, 174, 170, 185, 178
135, 47, 112, 112, 91, 20, 77, 176, 171, 180, 197, 192
158, 49, 120, 113, 112, 51, 96, 194, 188, 216, 213, 208
214, 69, 150, 141, 139, 32, 128, 235, 224, 288, 293, 281
905, 407, 681, 655, 448, 316, 548, 759, 688, 1225, 1083, 1104
4095, 3046, 4095, 3028, 3142, 3437, 4095, 4095, 4095, 4095, 4080, 4095
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095
4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095, 4095
